PreownedWarrantyEligibility,UsedVehiclePrice,TitleStatus,Vin,TitleSubStatus,ConfigId,Wheel,Discount,VehicleMapId,AutoPilot,Range,isPremium,Paint,OptionCodeListWithPrice,Roof,isFirstRegistrationDate,DriveTrain,Badge,Year,DestinationHandlingFee,Battery,Odometer,isPanoramic,OptionCodeList,Decor,isAutopilot,ModelVariant,MetroId,OdometerType,Model,TradeInType,VehicleStatus,isFixedGlassRoof,OwnerShipTransferCount
Pre-Owned,125500,USED,5YJSA1E41GF159385,,11696866,WTSG,,947822,DA02,BR00,True,PMBL,MDLS|STANDARD|66000;RENA|STANDARD|0;AF02|INCLUDED|0;AU01|OPTIONAL|2500;BC0R|INCLUDED|0;BP01|INCLUDED|0;BR00|INCLUDED|0;BTX6|INCLUDED|0;CDM0|INCLUDED|0;CH04|OPTIONAL|1500;CW02|OPTIONAL|1000;DA02|OPTIONAL|3000;DCF0|INCLUDED|0;DRLH|INCLUDED|0;DSH7|INCLUDED|0;DV4W|INCLUDED|0;FG02|INCLUDED|0;FR04|INCLUDED|0;HP00|INCLUDED|0;IDCF|OPTIONAL|1000;IX01|INCLUDED|0;LP01|INCLUDED|0;ME02|INCLUDED|0;MI01|INCLUDED|0;PF01|INCLUDED|0;PI01|OPTIONAL|3500;PK00|INCLUDED|0;PS01|INCLUDED|0;PX00|INCLUDED|0;PX6D|OPTIONAL|68500;QTVB|OPTIONAL|2500;RFP2|OPTIONAL|1500;SC01|INCLUDED|0;SP00|INCLUDED|0;SR01|INCLUDED|0;SU01|INCLUDED|0;TM00|INCLUDED|0;TP03|INCLUDED|0;TR00|INCLUDED|0;UTAB|INCLUDED|0;WTSG|OPTIONAL|4500;X001|INCLUDED|0;X003|INCLUDED|0;X007|INCLUDED|0;X011|INCLUDED|0;X013|INCLUDED|0;X019|OPTIONAL|1000;X024|INCLUDED|0;X027|INCLUDED|0;X028|INCLUDED|0;X031|INCLUDED|0;X037|INCLUDED|0;X040|INCLUDED|0;X044|INCLUDED|0;YFFC|INCLUDED|0,RFP2,False,DV4W,P100D,2016,,BTX6,10866,True,"MDLS,RENA,AF02,AU01,BC0R,BP01,BR00,BTX6,CDM0,CH04,PMBL,CW02,DA02,DCF0,DRLH,DSH7,DV4W,FG02,FR04,HP00,IDCF,IX01,LP01,ME02,MI01,PF01,PI01,PK00,PS01,PX00,PX6D,QTVB,RFP2,SC01,SP00,SR01,SU01,TM00,TP03,TR00,UTAB,WTSG,X001,X003,X007,X011,X013,X019,X024,X027,X028,X031,X037,X040,X044,YFFC",IDCF,True,ms,0,MILES,MODEL_S,,At service center,False,
Pre-Owned,125500,USED,5YJSA1E47GF161335,,11709756,WTSS,,958470,DA02,BR00,True,PMBL,MDLS|STANDARD|66000;RENA|STANDARD|0;AF02|INCLUDED|0;AU01|OPTIONAL|2500;BC0R|INCLUDED|0;BP01|INCLUDED|0;BR00|INCLUDED|0;BTX6|INCLUDED|0;CDM0|INCLUDED|0;CH04|OPTIONAL|1500;PMBL|OPTIONAL|1000;CW02|OPTIONAL|1000;DA02|OPTIONAL|3000;DCF0|INCLUDED|0;DRLH|INCLUDED|0;DSH7|INCLUDED|0;DV4W|INCLUDED|0;FG02|INCLUDED|0;FR04|INCLUDED|0;HP00|INCLUDED|0;IDBA|INCLUDED|0;IX01|INCLUDED|0;LP01|INCLUDED|0;ME02|INCLUDED|0;MI01|INCLUDED|0;PF01|INCLUDED|0;PI01|OPTIONAL|3500;PK00|INCLUDED|0;PS01|INCLUDED|0;PX00|INCLUDED|0;PX6D|OPTIONAL|68500;QTVB|OPTIONAL|2500;RFP2|OPTIONAL|1500;SC01|INCLUDED|0;SP00|INCLUDED|0;SR01|INCLUDED|0;SU01|INCLUDED|0;TM00|INCLUDED|0;TP03|INCLUDED|0;TR00|INCLUDED|0;UTAB|INCLUDED|0;WTSS|OPTIONAL|4500;X001|INCLUDED|0;X003|INCLUDED|0;X007|INCLUDED|0;X011|INCLUDED|0;X013|INCLUDED|0;X019|OPTIONAL|1000;X024|INCLUDED|0;X027|INCLUDED|0;X028|INCLUDED|0;X031|INCLUDED|0;X037|INCLUDED|0;X040|INCLUDED|0;X044|INCLUDED|0;YFFC|INCLUDED|0,RFP2,False,DV4W,P100D,2016,,BTX6,8909,True,"MDLS,RENA,AF02,AU01,BC0R,BP01,BR00,BTX6,CDM0,CH04,PMBL,CW02,DA02,DCF0,DRLH,DSH7,DV4W,FG02,FR04,HP00,IDBA,IX01,LP01,ME02,MI01,PF01,PI01,PK00,PS01,PX00,PX6D,QTVB,RFP2,SC01,SP00,SR01,SU01,TM00,TP03,TR00,UTAB,WTSS,X001,X003,X007,X011,X013,X019,X024,X027,X028,X031,X037,X040,X044,YFFC",IDBA,True,ms,0,MILES,MODEL_S,,At service center,False,
Pre-Owned,128000,USED,5YJXCBE43GF019571,,11696862,WTUT,,976870,DA02,BR00,True,PMSS,MDLX|STANDARD|74000;RENA|STANDARD|0;AD15|INCLUDED|0;AF02|INCLUDED|0;AH01|OPTIONAL|200;AU01|OPTIONAL|2500;BC0R|INCLUDED|0;BP01|INCLUDED|0;BR00|INCLUDED|0;BS00|INCLUDED|0;BTX6|INCLUDED|0;CC02|OPTIONAL|3000;CDM0|INCLUDED|0;CH05|INCLUDED|0;PMSS|OPTIONAL|1000;COUS|INCLUDED|0;CW02|OPTIONAL|1000;DA02|OPTIONAL|3000;DRLH|INCLUDED|0;DSH7|INCLUDED|0;DV4W|INCLUDED|0;FG02|INCLUDED|0;FR02|INCLUDED|0;GLFR|INCLUDED|0;HP00|INCLUDED|0;IDBA|INCLUDED|0;IX01|INCLUDED|0;LP01|INCLUDED|0;LT3W|INCLUDED|0;ME02|INCLUDED|0;MI00|INCLUDED|0;MX01|INCLUDED|0;PA00|INCLUDED|0;PF01|INCLUDED|0;PI01|OPTIONAL|4500;PK00|INCLUDED|0;PS01|INCLUDED|0;PX6D|OPTIONAL|61500;QLEW|OPTIONAL|2500;RFPX|INCLUDED|0;S06W|INCLUDED|0;SC01|INCLUDED|0;SP00|INCLUDED|0;SR04|INCLUDED|0;ST02|INCLUDED|0;SU01|INCLUDED|0;TIP0|INCLUDED|0;TM00|INCLUDED|0;TP03|INCLUDED|0;TR01|INCLUDED|0;TRA1|INCLUDED|0;TW00|INCLUDED|0;UM01|INCLUDED|0;USSW|INCLUDED|0;UTAB|INCLUDED|0;WTUT|OPTIONAL|5500;X001|INCLUDED|0;X003|INCLUDED|0;X007|INCLUDED|0;X011|INCLUDED|0;X013|INCLUDED|0;X019|INCLUDED|0;X024|INCLUDED|0;X026|INCLUDED|0;X028|INCLUDED|0;X031|INCLUDED|0;X037|INCLUDED|0;X040|INCLUDED|0;X042|INCLUDED|0;YFFC|INCLUDED|0,RFPX,False,DV4W,P100D,2016,,BTX6,6799,False,"MDLX,RENA,AD15,AF02,AH01,AU01,BC0R,BP01,BR00,BS00,BTX6,CC02,CDM0,CH05,PMSS,COUS,CW02,DA02,DRLH,DSH7,DV4W,FG02,FR02,GLFR,HP00,IDBA,IX01,LP01,LT3W,ME02,MI00,MX01,PA00,PF01,PI01,PK00,PS01,PX6D,QLEW,RFPX,S06W,SC01,SP00,SR04,ST02,SU01,TIP0,TM00,TP03,TR01,TRA1,TW00,UM01,USSW,UTAB,WTUT,X001,X003,X007,X011,X013,X019,X024,X026,X028,X031,X037,X040,X042,YFFC",IDBA,True,mx,0,MILES,MODEL_X,,At service center,False,
Pre-Owned,129000,USED,5YJXCBE42GF019657,,11697444,WTUT,,971093,DA02,BR00,True,PMNG,MDLX|STANDARD|74000;RENA|STANDARD|0;AD15|INCLUDED|0;AF02|INCLUDED|0;AH00|INCLUDED|0;AU01|OPTIONAL|2500;BC0R|INCLUDED|0;BP01|INCLUDED|0;BR00|INCLUDED|0;BS00|INCLUDED|0;BTX6|INCLUDED|0;CC02|OPTIONAL|3000;CDM0|INCLUDED|0;CH04|OPTIONAL|1500;COUS|INCLUDED|0;CW02|OPTIONAL|1000;DA02|OPTIONAL|3000;DRLH|INCLUDED|0;DSH7|INCLUDED|0;DV4W|INCLUDED|0;FG02|INCLUDED|0;FR02|INCLUDED|0;GLFR|INCLUDED|0;HP00|INCLUDED|0;IDCF|OPTIONAL|1000;IX01|INCLUDED|0;LP01|INCLUDED|0;LT3W|INCLUDED|0;ME02|INCLUDED|0;MI00|INCLUDED|0;MX01|INCLUDED|0;PA00|INCLUDED|0;PF01|INCLUDED|0;PI01|OPTIONAL|4500;PK00|INCLUDED|0;PS01|INCLUDED|0;PX6D|OPTIONAL|61500;QLEW|OPTIONAL|2500;RFPX|INCLUDED|0;S06W|INCLUDED|0;SC01|INCLUDED|0;SP00|INCLUDED|0;SR04|INCLUDED|0;ST02|INCLUDED|0;SU01|INCLUDED|0;TIP0|INCLUDED|0;TM00|INCLUDED|0;TP03|INCLUDED|0;TR01|INCLUDED|0;TRA1|INCLUDED|0;TW01|OPTIONAL|750;UM01|INCLUDED|0;USSW|INCLUDED|0;UTAB|INCLUDED|0;WTUT|OPTIONAL|5500;X001|INCLUDED|0;X003|INCLUDED|0;X007|INCLUDED|0;X011|INCLUDED|0;X013|INCLUDED|0;X019|INCLUDED|0;X024|INCLUDED|0;X026|INCLUDED|0;X028|INCLUDED|0;X031|INCLUDED|0;X037|INCLUDED|0;X040|INCLUDED|0;X042|INCLUDED|0;YFFC|INCLUDED|0,RFPX,False,DV4W,P100D,2016,,BTX6,11710,False,"MDLX,RENA,AD15,AF02,AH00,AU01,BC0R,BP01,BR00,BS00,BTX6,CC02,CDM0,CH04,PMNG,COUS,CW02,DA02,DRLH,DSH7,DV4W,FG02,FR02,GLFR,HP00,IDCF,IX01,LP01,LT3W,ME02,MI00,MX01,PA00,PF01,PI01,PK00,PS01,PX6D,QLEW,RFPX,S06W,SC01,SP00,SR04,ST02,SU01,TIP0,TM00,TP03,TR01,TRA1,TW01,UM01,USSW,UTAB,WTUT,X001,X003,X007,X011,X013,X019,X024,X026,X028,X031,X037,X040,X042,YFFC",IDCF,True,mx,0,MILES,MODEL_X,,At service center,False,
Pre-Owned Extended,41500,USED,5YJSA1DN2CFS00210,,47426,WT19,,1127503,DA00,BR00,False,PBSB,RENA|INCLUDED|0;AD02|INCLUDED|0;AF00|INCLUDED|0;AU01|OPTIONAL|950;BC0B|INCLUDED|0;BP00|INCLUDED|0;BR00|INCLUDED|0;BT85|OPTIONAL|10000;CH01|OPTIONAL|1500;PBSB|INCLUDED|0;CW00|INCLUDED|0;DA00|INCLUDED|0;DRLH|INCLUDED|0;DV2W|INCLUDED|0;FG00|INCLUDED|0;HP00|INCLUDED|0;IDLW|INCLUDED|0;ISMB|INCLUDED|0;LP00|INCLUDED|0;PA00|INCLUDED|0;PF00|INCLUDED|0;PS01|INCLUDED|0;RFPO|OPTIONAL|1500;SC01|INCLUDED|0;SU01|OPTIONAL|1500;TM02|INCLUDED|0;TP01|OPTIONAL|3750;TR00|INCLUDED|0;UTMF|INCLUDED|0;WT19|INCLUDED|0;X001|INCLUDED|0;X003|INCLUDED|0;X007|INCLUDED|0;X011|INCLUDED|0;X013|INCLUDED|0;X020|INCLUDED|0;X025|INCLUDED|0;MDLS|OPTIONAL|67400,RFPO,False,DV2W,85,2012,,BT85,83619,True,"RENA,AD02,AF00,AU01,BC0B,BP00,BR00,BT85,CH01,PBSB,CW00,DA00,DRLH,DV2W,FG00,HP00,IDLW,ISMB,LP00,PA00,PF00,PS01,RFPO,SC01,SU01,TM02,TP01,TR00,UTMF,WT19,X001,X003,X007,X011,X013,X020,X025,MDLS",IDLW,False,ms,0,MILES,MODEL_S,,At service center,False,
Pre-Owned Extended,42000,USED,5YJSA1CN3DFP19592,Previous service/demo vehicle,137352,WT19,,886930,DA00,BR00,False,PBCW,MS02|STANDARD|69900;RENA|STANDARD|0;AD02|INCLUDED|0;AU00|INCLUDED|0;BS00|INCLUDED|0;BT85|OPTIONAL|10000;CH00|INCLUDED|0;PBCW|INCLUDED|0;CW00|INCLUDED|0;DRLH|INCLUDED|0;HP00|INCLUDED|0;IDOG|INCLUDED|0;IPMT|OPTIONAL|1500;LP00|INCLUDED|0;PA00|INCLUDED|0;PF00|INCLUDED|0;PK00|INCLUDED|0;PS01|INCLUDED|0;RFBC|INCLUDED|0;SC01|INCLUDED|0;SP00|INCLUDED|0;SU01|OPTIONAL|2250;TM00|INCLUDED|0;TP01|OPTIONAL|3750;TR00|INCLUDED|0;WT19|INCLUDED|0;X001|INCLUDED|0;X003|INCLUDED|0;X007|INCLUDED|0;X037|INCLUDED|0;X011|INCLUDED|0;X014|INCLUDED|0;X020|INCLUDED|0;X025|INCLUDED|0;X027|INCLUDED|0;X031|INCLUDED|0;YF00|INCLUDED|0,RFBC,False,DV2W,85,2013,,BT85,57001,False,"MS02,RENA,AD02,AU00,BS00,BT85,CH00,PBCW,CW00,DRLH,HP00,IDOG,IPMT,LP00,PA00,PF00,PK00,PS01,RFBC,SC01,SP00,SU01,TM00,TP01,TR00,WT19,X001,X003,X007,X037,X011,X014,X020,X025,X027,X031,YF00",IDOG,False,ms,0,MILES,MODEL_S,,Financially delivered,False,
Pre-Owned Extended,42500,USED,5YJSA1CN0DFP22580,,142421,WT19,,1109124,DA00,BR00,False,PBCW,RENA|INCLUDED|0;AD02|INCLUDED|0;AF00|INCLUDED|0;AU00|INCLUDED|0;BC0B|INCLUDED|0;BP00|INCLUDED|0;BR00|INCLUDED|0;BS00|INCLUDED|0;BT85|OPTIONAL|10000;CH00|INCLUDED|0;PBCW|INCLUDED|0;CW00|INCLUDED|0;DA00|INCLUDED|0;DRLH|INCLUDED|0;DV2W|INCLUDED|0;FG01|INCLUDED|0;HP00|INCLUDED|0;IDOM|OPTIONAL|650;IX00|INCLUDED|0;LP00|INCLUDED|0;PA00|INCLUDED|0;PF00|INCLUDED|0;PK00|INCLUDED|0;PS01|INCLUDED|0;PX00|INCLUDED|0;QPMT|OPTIONAL|1500;RFBC|INCLUDED|0;SC01|INCLUDED|0;SP00|INCLUDED|0;SU00|INCLUDED|0;TM00|INCLUDED|0;TP01|OPTIONAL|3500;TR00|INCLUDED|0;UTMF|INCLUDED|0;WT19|INCLUDED|0;WTX1|INCLUDED|0;X001|INCLUDED|0;X003|INCLUDED|0;X007|INCLUDED|0;X009|INCLUDED|0;X011|INCLUDED|0;X014|INCLUDED|0;X021|INCLUDED|0;X025|INCLUDED|0;X027|INCLUDED|0;X031|INCLUDED|0;YF00|INCLUDED|0;MDLS|OPTIONAL|69900,RFBC,False,DV2W,85,2013,,BT85,55406,False,"RENA,AD02,AF00,AU00,BC0B,BP00,BR00,BS00,BT85,CH00,PBCW,CW00,DA00,DRLH,DV2W,FG01,HP00,IDOM,IX00,LP00,PA00,PF00,PK00,PS01,PX00,QPMT,RFBC,SC01,SP00,SU00,TM00,TP01,TR00,UTMF,WT19,WTX1,X001,X003,X007,X009,X011,X014,X021,X025,X027,X031,YF00,MDLS",IDOM,False,ms,0,MILES,MODEL_S,,At service center,False,
Pre-Owned Extended,43000,USED,5YJSA1CN2DFP07398,,111415,WT19,,1130808,DA00,BR00,False,PMMB,RENA|INCLUDED|0;AD02|INCLUDED|0;AF00|INCLUDED|0;AU00|INCLUDED|0;BC0B|INCLUDED|0;BP00|INCLUDED|0;BR00|INCLUDED|0;BT85|OPTIONAL|10000;CH00|INCLUDED|0;PMMB|OPTIONAL|750;CW00|INCLUDED|0;DA00|INCLUDED|0;DRLH|INCLUDED|0;DV2W|INCLUDED|0;FG00|INCLUDED|0;HP00|INCLUDED|0;IDOG|INCLUDED|0;IPMT|OPTIONAL|1500;LP00|INCLUDED|0;PA01|OPTIONAL|950;PF00|INCLUDED|0;PS01|INCLUDED|0;RFBC|INCLUDED|0;SC01|INCLUDED|0;SU01|OPTIONAL|1500;TM00|INCLUDED|0;TP01|OPTIONAL|3750;TR00|INCLUDED|0;UTMF|INCLUDED|0;WT19|INCLUDED|0;X001|INCLUDED|0;X003|INCLUDED|0;X007|INCLUDED|0;X011|INCLUDED|0;X014|INCLUDED|0;X020|INCLUDED|0;X025|INCLUDED|0;MDLS|OPTIONAL|67400,RFBC,False,DV2W,85,2013,,BT85,43920,False,"RENA,AD02,AF00,AU00,BC0B,BP00,BR00,BT85,CH00,PMMB,CW00,DA00,DRLH,DV2W,FG00,HP00,IDOG,IPMT,LP00,PA01,PF00,PS01,RFBC,SC01,SU01,TM00,TP01,TR00,UTMF,WT19,X001,X003,X007,X011,X014,X020,X025,MDLS",IDOG,False,ms,0,MILES,MODEL_S,,At Regional Hub,False,
Pre-Owned,43200,USED,5YJSA1CGXDFP17243,,116011,WT19,,1115700,DA00,BR00,False,PPSW,RENA|INCLUDED|0;AD02|INCLUDED|0;AF00|INCLUDED|0;AU01|OPTIONAL|950;BC0B|INCLUDED|0;BP00|INCLUDED|0;BR00|INCLUDED|0;BS00|INCLUDED|0;BT60|INCLUDED|0;CH00|INCLUDED|0;PPSW|OPTIONAL|1500;CW00|INCLUDED|0;DA00|INCLUDED|0;DRLH|INCLUDED|0;DV2W|INCLUDED|0;FG00|INCLUDED|0;HP00|INCLUDED|0;IDPB|INCLUDED|0;IPBT|INCLUDED|0;LP01|INCLUDED|0;PA00|INCLUDED|0;PF00|INCLUDED|0;PK00|INCLUDED|0;PS01|INCLUDED|0;RFBC|INCLUDED|0;SC01|OPTIONAL|2000;SP00|INCLUDED|0;SU01|OPTIONAL|1500;TM00|INCLUDED|0;TP01|OPTIONAL|3750;TR00|INCLUDED|0;UTMF|INCLUDED|0;WT19|INCLUDED|0;X001|INCLUDED|0;X003|INCLUDED|0;X007|INCLUDED|0;X009|INCLUDED|0;X011|INCLUDED|0;X013|INCLUDED|0;X020|INCLUDED|0;X025|INCLUDED|0;X027|INCLUDED|0;X031|INCLUDED|0;YF00|INCLUDED|0;MDLS|OPTIONAL|69900,RFBC,False,DV2W,60,2013,,BT60,42254,False,"RENA,AD02,AF00,AU01,BC0B,BP00,BR00,BS00,BT60,CH00,PPSW,CW00,DA00,DRLH,DV2W,FG00,HP00,IDPB,IPBT,LP01,PA00,PF00,PK00,PS01,RFBC,SC01,SP00,SU01,TM00,TP01,TR00,UTMF,WT19,X001,X003,X007,X009,X011,X013,X020,X025,X027,X031,YF00,MDLS",IDPB,False,ms,0,MILES,MODEL_S,,At service center,False,
Pre-Owned Extended,43500,USED,5YJSA1DP2CFP01972,Previous service/demo vehicle,75048,WT21,,1115251,DA00,BR00,False,PMMB,RENA|INCLUDED|0;AD02|INCLUDED|0;AF00|INCLUDED|0;AU01|OPTIONAL|950;BC0B|INCLUDED|0;BP00|INCLUDED|0;BR00|INCLUDED|0;BT85|INCLUDED|0;CH01|OPTIONAL|1500;PMMB|OPTIONAL|750;CW00|INCLUDED|0;DA00|INCLUDED|0;DRLH|INCLUDED|0;DV2W|INCLUDED|0;FG00|INCLUDED|0;HP00|INCLUDED|0;IDCF|INCLUDED|0;IZMT|INCLUDED|0;LP00|INCLUDED|0;PA00|INCLUDED|0;PF01|INCLUDED|0;PS01|INCLUDED|0;RFBC|INCLUDED|0;SC01|INCLUDED|0;SU01|INCLUDED|0;TM00|INCLUDED|0;TP01|OPTIONAL|3750;TR00|INCLUDED|0;UTMF|INCLUDED|0;WT21|INCLUDED|0;X001|INCLUDED|0;X003|INCLUDED|0;X007|INCLUDED|0;X011|INCLUDED|0;X013|INCLUDED|0;X019|INCLUDED|0;X024|INCLUDED|0;MDLS|OPTIONAL|92400,RFBC,False,DV2W,P85,2012,,BT85,43426,False,"RENA,AD02,AF00,AU01,BC0B,BP00,BR00,BT85,CH01,PMMB,CW00,DA00,DRLH,DV2W,FG00,HP00,IDCF,IZMT,LP00,PA00,PF01,PS01,RFBC,SC01,SU01,TM00,TP01,TR00,UTMF,WT21,X001,X003,X007,X011,X013,X019,X024,MDLS",IDCF,False,ms,0,MILES,MODEL_S,,At service center,False,
